Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
580,Igor Matanović,FW,hr Croatia,23.0,1.de Freiburg,2003.0,3.0,0.0,95.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,948e1292,0.0,0.0,0.0,0.0,0.0,N/A
581,Pape Matar Sarr,MF,sn Senegal,23.0,1.eng Tottenham,2002.0,2.0,0.0,67.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,feb5d972,0.0,0.0,0.0,0.0,0.0,N/A
582,Jean-Philippe Mateta,FW,fr France,28.0,1.eng Crystal Palace,1997.0,3.0,0.0,24.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50e6dc35,0.0,0.0,0.0,0.0,0.0,N/A
583,Mauricio,MF,py Paraguay,25.0,1.br Palmeiras,2001.0,4.0,0.0,173.0,1.9,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,bf4cbc22,0.0,0.52,0.52,0.52,0.52,N/A
584,Fiston Mayele,FW,cd Congo DR,31.0,1.eg Pyramids FC,1994.0,2.0,0.0,42.0,0.5,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0d113a00,0.0,2.14,2.14,2.14,2.14,N/A
585,Ibrahim Maza,MF,dz Algeria,20.0,1.de Leverkusen,2005.0,4.0,4.0,351.0,3.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89b3bc5e,0.0,0.0,0.0,0.0,0.0,FW
586,Noussair Mazraoui,DF,ma Morocco,28.0,1.eng Manchester Utd,1997.0,6.0,5.0,477.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b74277a0,0.0,0.0,0.0,0.0,0.0,N/A
587,Kylian Mbappé,FW,fr France,27.0,1.es Real Madrid,1998.0,8.0,8.0,695.0,7.7,10.0,4.0,14.0,9.0,1.0,2.0,1.0,0.0,42fd9c7f,0.52,1.81,1.29,1.17,1.68,N/A
588,Thalente Mbatha,MF,za South Africa,26.0,1.za Orlando Pirates,2000.0,4.0,2.0,260.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,f6272be9,0.0,0.0,0.0,0.0,0.0,N/A
589,Ibrahim Mbaye,MF,sn Senegal,18.0,1.fr PSG,2008.0,4.0,1.0,157.0,1.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,201b4ee4,0.0,0.57,0.57,0.57,0.57,N/A
590,Chancel Mbemba,DF,cd Congo DR,31.0,1.fr Lille,1994.0,4.0,4.0,360.0,4.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,e76cb9cc,0.25,0.25,0.0,0.0,0.25,N/A
